session_id,question_id,answer
70c25238-510a-4071-bd0c-8495ccca678b,realWhy,"It is way quicker to select multiple filters and keep an overview of selected filters. One list with results which makes it easier than choosing between multiple category lists and thinking about which is the smartest to use and continue with, because you almost always want to select multiple filters at once."
77f87ad4-ea54-49f0-8988-37946b76d636,favoriteWhy,This interface was new to me and still easy to understand. With this system I was able to find good results quickly.
77f87ad4-ea54-49f0-8988-37946b76d636,realWhy,"I know this interface well, and it's easy to use. I've always used it. Therefore, I would probably always prefer this one."
77f87ad4-ea54-49f0-8988-37946b76d636,feedback,"Since man is known to be a creature of habit, I would probably always use the system that is best known to me. But I also liked the Netflix Style Interface and if this would be automatically suggested on a page, I would probably use this one. The Multi Directional Interface was too complicated for me and I probably wouldn't use it."
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,favoriteWhy,It is new and it is nice to use when I don't really know what I want
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,realWhy,When visiting a different city I might not know what I want and why I would want some things. It is good to explore options and this interface helps with that :D
8d50a960-fef3-4721-bfe1-76c5cae9dae7,favoriteWhy,Most familiar and easiest to navigate.
8d50a960-fef3-4721-bfe1-76c5cae9dae7,realWhy,Same as above.
8d50a960-fef3-4721-bfe1-76c5cae9dae7,feedback,I would incorporate ChatGPT/AI into it where you start your search with a short conversation around the purpose of your trip and how you want to spend it. Based on that the search engine could provide you with few recommendations.
8dc27316-3acf-48f0-ad39-d44cde754034,favoriteWhy,It's the most intuitive one
8dc27316-3acf-48f0-ad39-d44cde754034,realWhy,"Helps to get the sought-after result in the fastest, the most efficient manner"
8f77b2d0-9f68-4e33-9133-eddc537c73e8,favoriteWhy,Very clear and the way of presenting is already known from Booking site.
8f77b2d0-9f68-4e33-9133-eddc537c73e8,realWhy,The quickest and easiest for me.
8f77b2d0-9f68-4e33-9133-eddc537c73e8,feedback,"Good job, very nicely done with paying great attention to details, modern project, good luck you talented lady, we love you!"
8f79f055-7919-41c7-911d-b3c7189bfacd,favoriteWhy,"Most familiar, easy to use."
8f79f055-7919-41c7-911d-b3c7189bfacd,realWhy,"Most familiar, easy to use."
8f79f055-7919-41c7-911d-b3c7189bfacd,feedback,People like what they know and the main characteristic a booking site should have is ease of use. The multi directional interface is new and not immediately easy to use.
92b0d168-2038-449a-8780-0a9dc07594fd,favoriteWhy,multi-directional form
92b0d168-2038-449a-8780-0a9dc07594fd,feedback,Nice comparison
93d991fb-be62-482a-a443-9651dc0ed391,feedback,It was an interesting experience in booking your holiday.
98ad7c12-53ba-4564-b93f-57f1f809f8cd,favoriteWhy,"It keeps the information in the center, no extra noise"
98ad7c12-53ba-4564-b93f-57f1f809f8cd,realWhy,"Because we are used to it, the booking style is easier, but if i get used to the other one, i would use it"
a190f603-8556-43e7-aa16-e999b9b6a7db,favoriteWhy,PROBABLY IT WAS THE MOST EASY FOR ME... PERHAPS FOR MY PREVIOUS EXPERIENCE
a1ff06a1-b9f9-448d-9f1b-db87256214b7,favoriteWhy,"Because of already knowing it, so it was easy to filter scan the hotels fast"
a1ff06a1-b9f9-448d-9f1b-db87256214b7,realWhy,Because it is easy to gain a quick overview
a7bb5591-a88b-4c19-aef9-f95912f6ea94,favoriteWhy,All filter options clearly visible on the left. Here you can easily select the minimum rating or the price range you would like to see.
a7bb5591-a88b-4c19-aef9-f95912f6ea94,realWhy,It felt the most intuitive
a7bb5591-a88b-4c19-aef9-f95912f6ea94,feedback,Improve the user experience when using the web browser on the phone
aaece07b-b498-490d-a4a2-7c0c80782feb,favoriteWhy,"Most familiar and allows me to set filters such as price, distance or rating myself."
aaece07b-b498-490d-a4a2-7c0c80782feb,realWhy,"Most familiar and allows me to set filters such as price, distance or rating myself."
aaece07b-b498-490d-a4a2-7c0c80782feb,feedback,"Ideally, it would be a bit of a combination of booking style and multi-directional."
aba196a9-b65f-4115-9f51-986d115d77f2,favoriteWhy,"- it was easy to use
- I quickly found the best accommodation for my needs
- it was familiar to me so I didn't have to learn how to use it"
aba196a9-b65f-4115-9f51-986d115d77f2,realWhy,I think I can find the best options this way with not much trouble
ad8c1846-3510-4c7b-876a-cadd7ef27b71,feedback,No is ok
aed5130a-5254-40ef-9130-ef62a8c984d7,favoriteWhy,convenient way to sort by various criteria
aed5130a-5254-40ef-9130-ef62a8c984d7,realWhy,force of habit :)
afde493d-4d56-4f34-9266-9f461e76b6ab,favoriteWhy,I got used to it
afde493d-4d56-4f34-9266-9f461e76b6ab,realWhy,It's practical and quick
afde493d-4d56-4f34-9266-9f461e76b6ab,feedback,"No scrolling for me, thank you :)"
b564343c-e1ab-4245-abb8-ab8a91b2dc5c,favoriteWhy,It was the easiest way to booked a hotel.
b564343c-e1ab-4245-abb8-ab8a91b2dc5c,realWhy,The easiest and fastest way.
b83c0354-eacf-4173-93e1-74727e4ba6d6,favoriteWhy,Easy to find what I'm looking for and easy to use in general
b83c0354-eacf-4173-93e1-74727e4ba6d6,realWhy,"Was the fastest option for me, I could find what I was looking for in under a minute."
b83c0354-eacf-4173-93e1-74727e4ba6d6,feedback,"Nice work, but I doubt the Multi-directional interface will be useful in the long run. :) Otherwise, nice survey - job well done! And good luck! ;)"
c12ff853-b429-47ad-8ce3-02b04ebc559a,favoriteWhy,Very clear and efficient.
c12ff853-b429-47ad-8ce3-02b04ebc559a,realWhy,"I guess I was used to this forever, so it's the one I feel the most comfortable with."
c12ff853-b429-47ad-8ce3-02b04ebc559a,feedback,Amazing job! The interfaces looked all really nice :)
c20c3aee-ab85-4dee-828b-547971984672,favoriteWhy,most familiar
c20c3aee-ab85-4dee-828b-547971984672,realWhy,"i would also use the multi-directional one, but booking-style seems to be most effective"
c20c3aee-ab85-4dee-828b-547971984672,feedback,see answers before
c22e9783-8fae-42aa-a3f8-ebc26d07cb3e,favoriteWhy,"It's fun to use. It certainly takes some time to figure it out, but it's original and enjoyable."
c22e9783-8fae-42aa-a3f8-ebc26d07cb3e,realWhy,It is most familiar and easiest/fastest to use.
c22e9783-8fae-42aa-a3f8-ebc26d07cb3e,feedback,Good job ;)
c829072d-50a1-401d-9d8c-bab9c62cb632,favoriteWhy,"My brain associated it with ""chill time"". Made it quite enjoyable. When it switched to Booking-style interface, I immediately dreaded finding the accommodation. It felt like a chore, not a fun moment of planning an exciting trip."
c829072d-50a1-401d-9d8c-bab9c62cb632,realWhy,"I liked Netflix, emotionally it was a great experience. However, I found Booking most effective I tihnk."
c829072d-50a1-401d-9d8c-bab9c62cb632,feedback,I mentioned my ideas earlier.
ca8eec1e-1827-4fb4-9468-8685d30968b1,feedback,no
d0a30739-2b23-46af-93d6-0f818cb62925,favoriteWhy,most intuitive
d47dda25-aae8-45af-9865-d3c316b462f2,favoriteWhy,It was the only interface that allowed adding three different filters at the same time.
d47dda25-aae8-45af-9865-d3c316b462f2,realWhy,It was unquestionably the most user-friendly.
d7e128a7-91fe-44bc-bf99-cd20c44085d0,favoriteWhy,"most intuitive, clear and straight-forward"
d7e128a7-91fe-44bc-bf99-cd20c44085d0,realWhy,"easy and quick, already familiar with"
d7e128a7-91fe-44bc-bf99-cd20c44085d0,feedback,"multi directional interface just not straightforward or directly intuitive, once understood probably more efficient"
e394db6e-6273-4010-9180-c54bbf05b1f4,favoriteWhy,"It's a new approach, but I still can not get used to it."
e394db6e-6273-4010-9180-c54bbf05b1f4,realWhy,I think that this is wha we are used to use
e394db6e-6273-4010-9180-c54bbf05b1f4,feedback,"The multi-directional interface seems promising, but I'm overwhelmed by the number of directional controls appearing on the screen."
e3e8e8e5-1500-4d4e-b05e-e3d608a54c06,favoriteWhy,familairity
e3e8e8e5-1500-4d4e-b05e-e3d608a54c06,realWhy,familairity
e3e8e8e5-1500-4d4e-b05e-e3d608a54c06,feedback,"The multidirectional style lists is very enjoyable, but it definitely needs a better UX. idea is cool, but it should be more continuous when scrolling and less ""jumpy"""
ea8bf447-a6ca-4b46-a65f-969e330b3591,favoriteWhy,It's something that I'm used to and I do not like to change things that simply work
ea8bf447-a6ca-4b46-a65f-969e330b3591,realWhy,It's something that I'm used to and I do not like to change things that simply work
ef3f11c5-9736-4501-9017-68b08bff1c93,favoriteWhy,because this interface collect offers in 3 groups
ef3f11c5-9736-4501-9017-68b08bff1c93,realWhy,because i know it how ot use
f162e491-7004-4271-98bc-21e296fc359c,favoriteWhy,"Fresher, newer experiencer"
f162e491-7004-4271-98bc-21e296fc359c,feedback,Integrating a map feature would help me a lot on deciding on places to stay
f5556548-2bbb-450f-a991-8bfb5a04b493,favoriteWhy,It's the most efficient at filtering
f5556548-2bbb-450f-a991-8bfb5a04b493,realWhy,It's the most efficient at filtering
f65d982f-777a-4802-bdd6-eb0bb4f35965,favoriteWhy,Easy to navigate.
f65d982f-777a-4802-bdd6-eb0bb4f35965,realWhy,"The options I filtered out, did not disturb me as they did not show anymore. That made it easier to make the choice"
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,favoriteWhy,"most intuitive, most efficient."
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,realWhy,easiest to archive my goal
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,feedback,Clearer hierarchy in the UI.
