session_id,interface_option,question_id,answer
a190f603-8556-43e7-aa16-e999b9b6a7db,multi,multi_improve,DON'T KNOW HOW TO IMPROVE
a7bb5591-a88b-4c19-aef9-f95912f6ea94,multi,multi_what_works,Innovative 
aaece07b-b498-490d-a4a2-7c0c80782feb,multi,multi_what_works,"I liked the most:

1. once I understood how it worked, the ease of applying filters

2. search by multiple parameters, e.g. distance from the center"
aaece07b-b498-490d-a4a2-7c0c80782feb,multi,multi_improve,"Many of the interface options are not clear to a person who has not used this way of booking. It is only after some time that many options are discovered, but who has time for that. I suspect that the use of intelligent, AI-supported clouds with descriptions, suggestions for using the most useful options would help. A second option would be to start in phases: first type, select basic filters and data: place, time, hotel type and basic requirements. Then only enters this filtering system to narrow down the best choices.

All in all, I think that this way is not very useful looking that it concerns the topic of making travel bookings."
aba196a9-b65f-4115-9f51-986d115d77f2,multi,multi_what_works,It was helpful to find cheap accommodations but with ok reviews. In other words it was easy to find sweet spot in two filters that I care about
aba196a9-b65f-4115-9f51-986d115d77f2,multi,multi_improve,In two directional browsing I wouldn't show one of the accommodations in each category but rather a range of parameters that represent every accommodation in this category.
ad8c1846-3510-4c7b-876a-cadd7ef27b71,multi,multi_what_works,Jest mega    !!!
ad8c1846-3510-4c7b-876a-cadd7ef27b71,multi,multi_improve,All OK
aed5130a-5254-40ef-9130-ef62a8c984d7,multi,multi_what_works,possibility of simultaneous sorting according to different criteria
aed5130a-5254-40ef-9130-ef62a8c984d7,multi,multi_improve,"the content tiles were quite large, which could be troublesome on smaller scree"
af333a5b-e51b-441e-8191-c300e5ccf9f6,multi,multi_what_works,"I really like the idea and it was easy to see my options based on the 2 criteria that I am usually have, the price and distance. And at the end I would just filter the results based on rating."
afde493d-4d56-4f34-9266-9f461e76b6ab,multi,multi_what_works,not sure
afde493d-4d56-4f34-9266-9f461e76b6ab,multi,multi_improve,"I didn't like it, too ,many scrolling options"
b83c0354-eacf-4173-93e1-74727e4ba6d6,multi,multi_what_works,"It's something new, but really confusing that it takes one to another list. "
b83c0354-eacf-4173-93e1-74727e4ba6d6,multi,multi_improve,I don't think it can be simplified for an easier experience. I personally don't enjoy this kind of interface. :D
c12ff853-b429-47ad-8ce3-02b04ebc559a,multi,multi_what_works,"It's quite easy and visual to compare with 2 different criterions.
I liked the cells on vertical and horizontal columns."
c12ff853-b429-47ad-8ce3-02b04ebc559a,multi,multi_improve,"I would maybe enlarge the grid to display more items. This would make the user scroll less, which was a bit confusing for me.
I would have preferred an in interface with overall less cells displayed."
c20c3aee-ab85-4dee-828b-547971984672,multi,multi_what_works,the novelty of the approach
c20c3aee-ab85-4dee-828b-547971984672,multi,multi_improve,dont just show preview of one residance (+ and X more) but maybe show tham as a stack of cards so its more intuitive that multiple residences fall into one filter category and with clicking on this stack the user sees all options in a pop up slider
c22e9783-8fae-42aa-a3f8-ebc26d07cb3e,multi,multi_what_works,"It's fun to use, but very, very non-intuitive. :D"
c22e9783-8fae-42aa-a3f8-ebc26d07cb3e,multi,multi_improve,"If a single tile does not represent accommodation, but rather a combination of filters in a particular cell, then it should be shown explicitly. I was sure that a single cell represents a single offer and was confused by the fact that it opens a listing."
c829072d-50a1-401d-9d8c-bab9c62cb632,multi,multi_what_works,It was something new and I wanted to just use this interface for fun to see if I understand how to use it.
c829072d-50a1-401d-9d8c-bab9c62cb632,multi,multi_improve,"There were too many features and it was a bit confusing at the end. If this was a website and I was using it for the first time, perhaps a mini tutorial / little pop-up tips would be helpful."
ca8eec1e-1827-4fb4-9468-8685d30968b1,multi,multi_what_works,"It was super clear and fast how to find things. It actually helped me understand the ""distance"" feature. "
ca8eec1e-1827-4fb4-9468-8685d30968b1,multi,multi_improve,I don't know. It was very intuitive. 
d0a30739-2b23-46af-93d6-0f818cb62925,multi,multi_what_works,"the one thing i was missing in the other versions, im able to click the whole element or picture of the hotel BUT then it got worse cuz from there its the same like the first one and i have to do extra step by again clicking it and this time with the tiny tiny show more button again"
d0a30739-2b23-46af-93d6-0f818cb62925,multi,multi_improve,"1 dimensional, when i scroll diagonal i have no clue which hotel im NOT seeing"
d47dda25-aae8-45af-9865-d3c316b462f2,multi,multi_improve,"Rather impossible to achieve, but it would be nice to have the possibility to include a third category as well."
d47dda25-aae8-45af-9865-d3c316b462f2,multi,multi_what_works,"It's easy to find extreme values, e.g., the cheapest and the best rated."
d7e128a7-91fe-44bc-bf99-cd20c44085d0,multi,multi_what_works,"very new approach, can be very useful once understood "
d7e128a7-91fe-44bc-bf99-cd20c44085d0,multi,multi_improve,"user guide to show all functions, otherwise some will be overseen (there are quite many)"
e394db6e-6273-4010-9180-c54bbf05b1f4,multi,multi_what_works,"The most useful feature from a user interface perspective is the ability to filter across two dimensions simultaneously, while progressively narrowing the results by adjusting the filtering conditions"
e394db6e-6273-4010-9180-c54bbf05b1f4,multi,multi_improve,"However, scrolling diagonally feels confusing, and I often lose track of how the filtering is affecting the results when moving in those directions across the interface."
e3e8e8e5-1500-4d4e-b05e-e3d608a54c06,multi,multi_what_works,novel. eaiser to exlopre more variety of options
e3e8e8e5-1500-4d4e-b05e-e3d608a54c06,multi,multi_improve,"UX. i think the scrolling should be continous, not locked onto a grid.

how about instead of seeing a 3x3 grid you would see elements scattered on a surface of a sphere? it would be less jumpy and could be distributed linearly instead of binned into groups "
ea8bf447-a6ca-4b46-a65f-969e330b3591,multi,multi_what_works,It is something different. Would take some time to get used to it though. Feels like you get the result that u wanted pretty fast.
ea8bf447-a6ca-4b46-a65f-969e330b3591,multi,multi_improve,"A quick tutorial when you enter the site maybe. I feel like this carousel is not ""boomer"" friendly."
ef3f11c5-9736-4501-9017-68b08bff1c93,multi,multi_what_works,I needed a few minute to understand this philosophy but when I did it i think it is very helpful and innovate method
ef3f11c5-9736-4501-9017-68b08bff1c93,multi,multi_improve,"I suggest to add amount of accommodation type in every cell with arrow icon, e.g. Private House [12 ->]"
f162e491-7004-4271-98bc-21e296fc359c,multi,multi_what_works,It is easier since you have more filter combinations. Also it is more intuitively.
f162e491-7004-4271-98bc-21e296fc359c,multi,multi_improve,Adding a map to filtering options
f5556548-2bbb-450f-a991-8bfb5a04b493,multi,multi_what_works,It might compare similar listings that I wouldn't have considered otherwise
f5556548-2bbb-450f-a991-8bfb5a04b493,multi,multi_improve,popups with hints would be useful
f65d982f-777a-4802-bdd6-eb0bb4f35965,multi,multi_improve,"It was a bit confusing to scroll, I would make the scrolling smoother. I did not understand I could scroll diagonally"
f65d982f-777a-4802-bdd6-eb0bb4f35965,multi,multi_what_works,Easy to see the chosen filters on top
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,multi,multi_what_works,"Hard finding words here haha 😂 sorry but i was super confused even as a technical person. 
"
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,multi,multi_improve,"It was hard to orientated where i am starting my search. First item in a row is the first item to watch but here with several items a no clear starting point it was hard to know where to go to find my desired items.  Also were low rating very popular in the displayed results at the start of a search which also let me go to the high ratings first, cause why should i want to worst offering. also being able to scroll beyond the boarders or beyond very high so to speak didn't make sense to me. it should be a fixed matrix where i move and not an infinity matrix. Also then to open a cell so to speak to find more items that are similiar felt a bit unefficient."
